"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Rawan AlMusayid","Project T","Position prices","4-Submitted - Under Evaluation","30/11/2026","11/08/2024","Giga","","Sell Direct","MPO","Non Etimad","","1500000","10/09/2024"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","OP-2024-152474 MOD stc MOH EA ccc","6-Cancelled","26/04/2026","26/01/2025","Sales & BD 1","","Sell Through solutions","MPO","Non Etimad","","34346724","29/01/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","OP-2024-152419 - MOD Arkan Buildings","7-Handover Completed","29/03/2026","06/02/2025","Sales & BD 1","","Sell Through solutions","MPO","Non Etimad","","17313799","13/02/2025"
"Rawan AlMusayid","ASMO","RFP labor - project 24","6-Dropped","31/03/2026","13/02/2025","Sales & BD 1","","Sell Direct","MPO","Non Etimad","","1500000","20/03/2025"
"Bayan AlOlayan","Ministry of Municipal And Rural Affairs-Riyadh","My City Offices Operations V.1 Project","6-Cancelled","06/07/2026","19/03/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0128","120000000","06/07/2026"
"Majid Al-Faifi","SDAIA - National Information Center","Meteorological Platform Project","6-Lost","01/02/2026","15/04/2025","Sales & BD 2","RFP","Sell Through solutions","MPO","Etimad","SF-2025-0209","8000000","20/04/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project","6-Cancelled","03/02/2026","17/04/2025","Sales & BD 1","RFP","Sell Direct","Facility Management","Non Etimad","SF-2025-0217","107011435","31/07/2025"
"Ali Bin Zeair","Solutions by stc","Novation Agreement with Solutions & CCC & Schenker","6-Dropped","10/09/2026","23/04/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-0258","0","09/09/2026"
"Ziyad Aldriwish","General Authority of Civil Aviation","Customer Care Center - CC","6-Lost","08/02/2026","23/04/2025","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2025-0260","30897011","19/06/2025"
"Rawan AlMusayid","The National Unified Procurement Company","iNupco Framework Agreement Manpower","6-Cancelled","02/07/2026","24/04/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0268","1500000","15/05/2025"
"Ali Bin Zeair","SCCC","Manpower Outsourcing Requirement KSA _ Alibaba","6-Lost","23/02/2026","28/04/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0278","15000000","26/07/2025"
"Majid Al-Faifi","Ministry of Interior - Public Security","Operation and Maintenance of Systems at the National Center for Security Operations in Riyadh","6-Lost","01/02/2026","28/04/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0285","39998994","30/04/2025"
"Ali Bin Zeair","Pulse by solutions","Giza E2E SCM Supply Chain  Centralization","7-Handover Completed","13/01/2026","29/04/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-0306","2183104","07/10/2025"
"Khalid AlEnezi","Private Affairs of King Salman bin Abdulaziz","Maintenance and Operations","4-Submitted - Under Evaluation","17/12/2026","30/04/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0318","4109228","15/05/2025"
"Fajer Alsalloum","Diriyah Gate Development Authority","OP-2025-156150 | Diriyah Co.(DC) | Level 1 (L1) Support Contract for Network","6-Cancelled","21/04/2026","05/05/2025","Giga","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-0333","2167140","15/05/2025"
"Raed Hammad","Center3","IT Dep ? Resources","7-Handover Completed","19/05/2026","13/05/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0375","1538020","15/05/2025"
"Khalid AlEnezi","Presidency of State Security.","MPO Resources for NTC","6-Lost","04/01/2026","18/05/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0396","21463573","31/05/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MPO Resources MOD- STCSQR-20084","4-Submitted - Under Evaluation","17/12/2026","20/05/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0411","571001","27/05/2025"
"Majid Al-Faifi","MOI - General Directorate of Narcotics Control (GDNC)","Unified Call Center for the General Directorate of Narcotics Control (GDNC)","6-Dropped","04/05/2026","27/05/2025","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2025-0444","7000000","25/02/2026"
"Rawan AlMusayid","Digital Government Authority","DGA Parking Solution","4-Submitted - Under Evaluation","31/12/2026","27/05/2025","Sales & BD 1","RFI","Sell Direct","Facility Management","Non Etimad","SF-2025-0446","0","10/07/2025"
"Abdullah Alswelm","THIQAH","Ehkaam inbound","7-Handover Completed","08/01/2026","28/05/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0450","1191100","17/06/2025"
"Abdullah Alswelm","THIQAH","Ehkaam Social Media","7-Handover Completed","08/01/2026","28/05/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0451","624819","01/07/2025"
"Mohammed Rashed","Riyadh infostructure project center","Developing the Methodology for Current and Future Infrastructure Projects","7-Handover Completed","25/02/2026","01/06/2025","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2025-0456","16868904","19/06/2025"
"Bayan AlOlayan","SDAIA - National Information Center","Renewal of Licenses and Technical Support for Data Management and Protection Systems ? First Phase","6-Dropped","04/05/2026","02/06/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0470","6000960","31/08/2025"
"Khalid AlEnezi","Maqaraat Office","MPO and FM Services","4-Submitted - Under Evaluation","17/12/2026","17/06/2025","Sales & BD 1","RFI","Sell Direct","HRO","Non Etimad","SF-2025-0501","11037975","17/09/2025"
"Raed Hammad","Aqalat limited Company","Manpower - Head of Maintenance ""","6-Cancelled","19/08/2026","18/06/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0507","694565","24/06/2025"
"Raed Hammad","Center3","Car renting","6-Cancelled","19/08/2026","24/06/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-0547","572400","15/07/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","STCSQR-20478","4-Submitted - Under Evaluation","24/12/2026","25/06/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0551","30000","30/06/2025"
"Khalid AlEnezi","Presidency of State Security Special Security Forces","maintenance for IT networks and data center","6-Lost","19/08/2026","01/07/2025","Sales & BD 1","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-0586","1000000","18/07/2025"
"Majid Al-Faifi","SDAIA - National Information Center","RFI: Recruitment of 12 data scientists","6-Cancelled","01/02/2026","03/07/2025","Sales & BD 2","RFI","Sell Direct","MPO","Non Etimad","SF-2025-0599","100000","06/01/2026"
"Fajer Alsalloum","SAUDI BASIC INDUSTRIES CO.(SABIC)","MPO Framework Agreement - IT professional services","7-Handover Completed","27/01/2026","06/07/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0610","0","15/09/2025"
"Majid Al-Faifi","Ministry of Interior - Public Security","RFI: Developing the Facilities Manual for all Public Security branches across Saudi Arabia","6-Dropped","04/05/2026","06/07/2025","Sales & BD 2","RFI","Sell Through solutions","Facility Management","Non Etimad","SF-2025-0611","1000000","29/04/2026"
"Rawan AlMusayid","Digital Government Authority","Support for Enhancing Interaction between Digital Government Service Providers and User","4-Submitted - Under Evaluation","30/12/2026","06/07/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0615","16853622","20/07/2025"
"Ali Bin Zeair","Solutions by stc","STCSQR-20586","6-Dropped","11/03/2026","07/07/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-0623","300573","12/07/2025"
"Majid Al-Faifi","MOI - Department of Telecommunications & Wireless","Satellite Communication Systems Maintenance Training","6-Dropped","04/05/2026","08/07/2025","Sales & BD 2","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2025-0632","516930","10/09/2025"
"Khalid AlEnezi","Saudi Royal Aviation","SRA - IT Consultation Services Framework - RFP-2506-0148","6-Lost","04/01/2026","08/07/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0635","3389127","24/07/2025"
"Khalid AlEnezi","General Authority for Military Industries","STCQR-20356- WO2_CR","6-Dropped","13/04/2026","08/07/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0636","278874","17/07/2025"
"Fajer Alsalloum","King Salman Park Foundation","Parsons Helpdesk Call Center","6-Dropped","30/04/2026","09/07/2025","Giga","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-0641","1600000","14/08/2025"
"Ali Bin Zeair","SCCC","RGA project","6-Dropped","02/03/2026","16/07/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0681","259026","11/10/2025"
"Khalid AlEnezi","THIQAH","Thiqah CLM renewal for 2026","4-Submitted - Under Evaluation","30/09/2026","16/07/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0682","673556","01/12/2025"
"Rawan AlMusayid","Red Sea Global","Offshore Development Center","4-Submitted - Under Evaluation","31/12/2026","17/07/2025","Giga","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-0686","0","05/08/2025"
"Mohammad Alajlan","Solutions by stc","Project Code 1218","6-Dropped","05/07/2026","20/07/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0689","151442","30/07/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Resource","7-Handover Completed","31/03/2026","20/07/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0695","715482","29/07/2025"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","STCSQR-20199","6-Dropped","27/04/2026","22/07/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0719","397589","14/08/2025"
"Fajer Alsalloum","Digital Government Authority","Operation and maintenance for DGA","6-Lost","08/02/2026","27/07/2025","Sales & BD 1","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-0726","178914212","26/10/2025"
"Raed Hammad","channels by stc","DIR-CLM-HVC2025-Channels 2026","7-Handover Completed","17/02/2026","27/07/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0728","25500000","12/02/2026"
"Bayan AlOlayan","National Housing Services Company - NHC","CR for current NHC project","4-Submitted - Under Evaluation","29/10/2026","30/07/2025","Sales & BD 2","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-0743","470754","06/08/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project- CLM","6-Dropped","07/04/2026","31/07/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0748","40894086","31/07/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project- MPO","6-Dropped","07/04/2026","31/07/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0750","35006132","31/07/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project-SCM","6-Dropped","07/04/2026","31/07/2025","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2025-0752","43426501","31/07/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Managed services for the Information Technology department","7-Handover Completed","28/07/2026","05/08/2025","Sales & BD 1","RFP","Sell Through STC","MPO","Non Etimad","SF-2025-0758","81762482","10/08/2025"
"Rawan AlMusayid","Saudi Red Crescent Authority","Digital Products Support and Management Project","6-Cancelled","24/02/2026","05/08/2025","Sales & BD 1","RFP","Sell Through solutions","MPO","Etimad","SF-2025-0760","3950740","15/08/2025"
"Khalid AlEnezi","King Abdulaziz Darah","Maintenance and Operation of the Data Center","6-Lost","15/06/2026","05/08/2025","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2025-0761","17921965","17/09/2025"
"Khalid AlEnezi","MOD - Armed Forces","MOD Frame Agreement - ???????? ????????????","6-Dropped","03/02/2026","07/08/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0765","10068264","11/08/2025"
"Khalid AlEnezi","Tourism Development Fund","OP-2025-157632 - Establishing, implementing, and developing financial and accounting control mechanisms","6-Dropped","04/05/2026","10/08/2025","Sales & BD 2","RFP","Sell Direct","F&A","Etimad","SF-2025-0767","11391304","11/08/2025"
"Raed Hammad","specialized by stc","CLM internal Project 2 agents","6-Cancelled","19/08/2026","10/08/2025","STC & Sub","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-0771","150000","11/08/2025"
"Khalid AlEnezi","Private Affairs of Crown Prince","MPO Resource PACP","6-Lost","26/04/2026","12/08/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0776","7512694","17/08/2025"
"Khalid AlEnezi","Hail University","OP-2024-157925 - MS FOR UOH","4-Submitted - Under Evaluation","24/12/2026","14/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0786","16286775","21/08/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Cyber Security Project","6-Dropped","03/02/2026","17/08/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0793","4120491","21/08/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Technical consulting services for Cyber Security","4-Submitted - Under Evaluation","17/12/2026","17/08/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0794","36934117","21/08/2025"
"Bayan AlOlayan","Ministry of Hajj","Project to Enhance the Operational Efficiency of the Guests of Allah Care Center (Phase Two)","4-Submitted - Under Evaluation","30/12/2026","18/08/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0797","43418230","02/09/2025"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","OP-2025-156564 - MHRSD - Cloud Infrastructure Project, Managed Services, Tools, and Technical Support for the Integrated","4-Submitted - Under Evaluation","24/12/2026","19/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0805","1400273","28/08/2025"
"Bayan AlOlayan","Medina Municipality","Network Infrastructure Medinah Region","4-Submitted - Under Evaluation","29/10/2026","20/08/2025","Sales & BD 2","RFP","Sell Through solutions","MPO","Etimad","SF-2025-0808","957458","26/08/2025"
"Majid Al-Faifi","SDAIA - National Information Center","Training Courses in Managerial and Core Skills","6-Cancelled","01/02/2026","20/08/2025","Sales & BD 2","RFP","Sell Direct","HRO","Etimad","SF-2025-0809","14597771","14/09/2025"
"Majid Al-Faifi","Higher Commission for Industrial Security","Development, Management,","7-Handover Completed","12/01/2026","20/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0810","3806127","03/09/2025"
"Bayan AlOlayan","National Housing Services Company - NHC","NHC - OP-2025-158091","6-Lost","13/04/2026","20/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0811","1667317","28/08/2025"
"Majid Al-Faifi","Ministry of Interior - Public Security","Network Operations Center (NOC) MP- MOI/PSD","6-Lost","01/02/2026","20/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0813","7292002","17/09/2025"
"Ali Bin Zeair","Solutions by stc","STCSQR-21135","6-Lost","18/08/2026","25/08/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-0834","6234609","13/08/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","Integral New Project","7-Handover Completed","30/06/2026","26/08/2025","STC & Sub","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-0840","2770736","31/08/2025"
"Khalid AlEnezi","Ministry of Defense - Medical Services","Contact center Eco-System Project","4-Submitted - Under Evaluation","17/12/2026","27/08/2025","Sales & BD 1","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2025-0841","55424789","18/09/2025"
"Raed Hammad","STC Bank","Stc Bank CLM","6-Won","30/06/2026","28/08/2025","STC & Sub","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-0854","39500000","14/09/2025"
"Khalid AlEnezi","Ministry of Sport","OP-2025-156727 - Broadcasting infrastructure - MOS - upsource","4-Submitted - Under Evaluation","24/12/2026","31/08/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0858","3883359","08/09/2025"
"Khalid AlEnezi","Initiatives Management Office IMO","OP-2025-158201-Initiatives and Missions Affairs Office","4-Submitted - Under Evaluation","30/09/2026","02/09/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0874","1662031","09/09/2025"
"Ali Bin Zeair","Solutions by stc","STCSQR-21222","4-Submitted - Under Evaluation","24/12/2026","03/09/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-0881","2193809","10/09/2025"
"Raed Hammad","specialized by stc","Transfer employee - 2025 - Ahmed Reda (App Expert)  Specialized by STC","4-Submitted - Under Evaluation","30/09/2026","09/09/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0905","366253","18/09/2025"
"Khalid AlEnezi","Ministry of Culture","OP-2025-158211 MOC - Jeddah Albalad Parking","6-Dropped","04/05/2026","10/09/2025","Sales & BD 2","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2025-0912","14583097","17/09/2025"
"Bayan AlOlayan","State Properties General Authority","CLM - SPGA","6-Lost","13/04/2026","10/09/2025","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2025-0913","826525","08/10/2025"
"Bayan AlOlayan","General Organization for Social Insurance","Asset and Liability Management Tool","4-Submitted - Under Evaluation","24/12/2026","10/09/2025","Sales & BD 2","RFP","Sell Direct","F&A","Non Etimad","SF-2025-0915","2459419","01/10/2025"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI","7-Handover Completed","21/09/2026","11/09/2025","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2025-0918","6346798","29/10/2025"
"Khalid AlEnezi","Saudi Electronic University","SEU - ????? ?????? ??????? ???? 2025 ? - HRO","6-Lost","26/04/2026","11/09/2025","Sales & BD 2","RFP","Sell Direct","HRO","Etimad","SF-2025-0920","10133153","30/09/2025"
"Khalid AlEnezi","Jockey Club of Saudi Arabia","Provision of operation, maintenance, and cleaning services for the sites and facilities of the Horse Racing Club","6-Dropped","28/04/2026","14/09/2025","Sales & BD 2","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-0924","26075454","11/02/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-21499 \ Project 1362","4-Submitted - Under Evaluation","30/09/2026","16/09/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0936","488602","23/09/2025"
"Ziyad Aldriwish","Saudi Railway Company","RFQ: 668621 - Software quality assurance - OMR1293759","7-Handover Completed","30/04/2026","17/09/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0939","267504","24/09/2025"
"Rawan AlMusayid","Research Development and Innovation Authority","Consulting services to support the activation of business activities related to the innovation ecosystem","7-Handover Completed","20/01/2026","18/09/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0946","914353","25/09/2025"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","STC HRO 2026 Q1","7-Handover Completed","08/02/2026","18/09/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0949","100000000","31/12/2025"
"Khalid AlEnezi","National Company of Telecommunications & information security","Contact Center - NTIS","6-Dropped","04/05/2026","21/09/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0954","2007825","28/09/2025"
"Mohammed Rashed","Saudi Tourism Authority","STA - Managed services - OP-2025-157883","6-Dropped","27/01/2026","21/09/2025","Sales & BD 2","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-0956","2604000","09/10/2025"
"Majid Al-Faifi","Ministry of Hajj","RFI: Hosting and Renting the Minister of Hajj and Umrah Riyadh Office","6-Dropped","04/05/2026","21/09/2025","Sales & BD 2","RFI","Sell Direct","Facility Management","Non Etimad","SF-2025-0957","100000","19/02/2026"
"Malak AlSuhaim","Ministry of Hajj","Operation of IT Services at the Ministry of Hajj and Umrah - Phase Two","1-Identified","24/12/2026","21/09/2025","Sales & BD 2","RFI","Sell Through solutions","MPO","Non Etimad","SF-2025-0958","35000000","01/03/2026"
"Majid Al-Faifi","Ministry of Hajj","RFI: Construction, Preparation, Operation, Maintenance, and Cleaning of the Ministry of Hajj and Umrah Sites in Mina","6-Dropped","04/05/2026","21/09/2025","Sales & BD 2","RFI","Sell Direct","Facility Management","Non Etimad","SF-2025-0959","100000","24/02/2026"
"Majid Al-Faifi","Ministry of Hajj","RFI: Improvement and Development of the Internal Work Environment of the Ministry of Hajj and Umrah Buildings","6-Dropped","04/05/2026","21/09/2025","Sales & BD 2","RFI","Sell Direct","Facility Management","Non Etimad","SF-2025-0960","100000","14/01/2026"
"Majid Al-Faifi","Ministry of Interior - Special Forces For Environmental Security","RFI: Initiative for Training, Development, and Empowerment of Environmental Security Competencies","6-Dropped","04/05/2026","24/09/2025","Sales & BD 2","RFI","Sell Direct","HRO","Non Etimad","SF-2025-0968","100000","30/04/2026"
"Rawan AlMusayid","Saudi Aramco","OP-2025-157177 | System Engineer","6-Cancelled","02/03/2026","25/09/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0972","270828","30/09/2025"
"Rawan AlMusayid","Saudi Aramco","OP-2025-158401 | System Support Engineer + Systems Specialist","6-Dropped","26/01/2026","25/09/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0973","2801802","28/09/2025"
"Khalid AlEnezi","Ministry of Tourism","OP-2025-158545 - Managed Services for Technical Data Centers - MoT","6-Dropped","04/05/2026","25/09/2025","Sales & BD 2","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-0974","24974071","07/10/2025"
"Ziyad Aldriwish","Saudi Railway Company","Restart - overtime august","6-Dropped","28/04/2026","25/09/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0976","56421","02/10/2025"
"Majid Al-Faifi","Ministry of Interior - Special Forces For Environmental Security","Training Project for Providing Professional Services in Information Technology, Communications, and AI","6-Dropped","01/02/2026","28/09/2025","Sales & BD 2","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2025-0980","9817639","05/10/2025"
"Abdullah Alswelm","National Maritime Academy","CR for salary increase","7-Handover Completed","19/01/2026","30/09/2025","Sales & BD 2","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0996","177012","09/10/2025"
"Khalid AlEnezi","AFC Asian Cup Saudi Arabia 2027 Local Organizing committee","OP-2025-158965 - RFP-094-Design And Delivery of Visitor & Fan Care Customer Experience Framework","7-Handover Completed","07/05/2026","01/10/2025","Sales & BD 2","RFP","Sell Through solutions","CLM","Non Etimad","SF-2025-1002","894418","15/10/2025"
"Rawan AlMusayid","Red Sea Global","RSG MSP and Resourcing Services RFP","4-Submitted - Under Evaluation","15/11/2026","01/10/2025","Giga","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1004","7184670","26/08/2026"
"Majid Al-Faifi","Ministry of Interior - Public Security","RFI: Customer Contact Center Development Initiative","6-Dropped","04/05/2026","01/10/2025","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1006","500000","20/11/2025"
"Raed Hammad","specialized by stc","CLM 2 Agents + 1 SV","6-Cancelled","27/04/2026","02/10/2025","STC & Sub","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1008","982851","09/10/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Training Course -STCSQR-21645","7-Handover Completed","07/01/2026","02/10/2025","Sales & BD 1","RFQ","Sell Through solutions","HRO","Etimad","SF-2025-1010","80000","07/10/2025"
"Rawan AlMusayid","Saudi Aramco","MPO : Saudi Aramco_6000180796_Electrical System of CDC TCC","6-Dropped","26/01/2026","05/10/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1015","26942895","08/10/2025"
"Rawan AlMusayid","National Energy services company","Outsourced IT Technician (Level 1)- Tarshied","6-Cancelled","02/03/2026","05/10/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1016","214062","09/10/2025"
"Rawan AlMusayid","SAUDI ELECTRICAL COMPANY","Help Desk Agents","6-Cancelled","02/03/2026","05/10/2025","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1017","200000","16/10/2025"
"Bayan AlOlayan","General Organization for Social Insurance","Implementation of the Performance & Risk Monitoring System","6-Lost","02/02/2026","05/10/2025","Sales & BD 2","RFP","Sell Direct","F&A","Non Etimad","SF-2025-1018","4543529","16/10/2025"
"Raed Hammad","Devoteam Company Saudi Limited","Laptops 11","6-Cancelled","19/08/2026","06/10/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1024","10000","30/10/2025"
"Raed Hammad","Devoteam Company Saudi Limited","Raed Kanaan Project Manager","6-Cancelled","19/08/2026","06/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1026","798414","12/10/2025"
"Raed Hammad","Devoteam Company Saudi Limited","1.	GRC Cybersecurity","6-Cancelled","19/08/2026","07/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1028","740204","09/10/2025"
"Ziyad Aldriwish","Saudi Ports Authority","MPO - for the Ports Authority and its ports","6-Cancelled","02/04/2026","07/10/2025","Sales & BD 1","RFP","Sell Through solutions","MPO","Etimad","SF-2025-1029","99701212","12/12/2025"
"Mohammad Alajlan","TAWAL","SDNs - Upsource 2025 Remaining Mount","7-Handover Completed","09/04/2026","08/10/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1033","598500","15/10/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","Finance Collection Project 2026 - 2027","7-Handover Completed","17/03/2026","08/10/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1034","7475812","31/10/2025"
"Raed Hammad","Solutions by stc","Renewal Project 1206","7-Handover Completed","08/01/2026","13/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1037","28034534","20/10/2025"
"Mohammad Alajlan","Solutions by stc","Renewal Project 1381","4-Submitted - Under Evaluation","30/09/2026","13/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1039","657210","20/10/2025"
"Bayan AlOlayan","SDAIA - National Information Center","Request to Share Revised Costing Based on SDAIA Adjustments ? RFP Budget Booking","6-Dropped","04/05/2026","13/10/2025","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1040","1000000","21/10/2025"
"Fajer Alsalloum","Shared Services Program","MPO Framework Agreement","7-Handover Completed","07/01/2026","13/10/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1041","0","18/11/2025"
"Rawan AlMusayid","Ministry of Investment","MPO renewal project","7-Handover Completed","28/06/2026","13/10/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1042","6296436","23/10/2025"
