"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Osayed Shadid","Saudi Red Crescent Authority","????? ???????? ???????? ?????? ???????? ??????? ????????? ?? ????? ??????? ??????? ????? ?????? ??????? ????????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2598","0","11/08/2026"
"Osayed Shadid","Saudi Red Crescent Authority","????? ???????? ???????? ??????? ?????????? ??????? ????????? ?? ????? ?????? ??????? ?????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2599","0","11/08/2026"
"Osayed Shadid","Saudi Red Crescent Authority","????? ???????? ???????? ?????? ???????? ??????? ????????? ?? ????? ???? ?????? ?????? ???????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2600","0","11/08/2026"
"Rawan AlMusayid","Agricultural Development Fund","????? ????? ????? ?????? ?????? ???? ????? ????????? ??????? ???????? (Cohesity)  ??????? ??????? ????? ??????? ?? ?????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2601","0","11/08/2026"
"Osayed Shadid","Saudi Red Crescent Authority","????? ???????? ???????? ?????? ???????? ??????? ????????? ???????? ???????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2602","0","11/08/2026"
"Osayed Shadid","Saudi Red Crescent Authority","????? ???????? ???????? ?????? ???????? ??????? ????????? ?????? ??? ???????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2603","0","11/08/2026"
"Rawan AlMusayid","The Saudi Standards Metrology and Quality Organization","????? ????? ?????? ????? ???????? ????? ?????? ????? ??????? ??????? ????????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2604","0","11/08/2026"
"Rawan AlMusayid","Ministry of Economy & Planning","????? ????? ?????? ????? ?????? ???????? ????? ???????? ????????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2605","0","11/08/2026"
"Rawan AlMusayid","Economic Cities Authority","????? ????? ?????? ????? ??????? ???????? ??????? ??????? ???? ??????? ??????? ???????? ??? ???????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2606","0","11/08/2026"
"Rawan AlMusayid","Small and Medium Enterprises Bank","????? ????? ?????? ?????? ?????? ???? ????? ??????? ????????","6-Dropped","11/08/2026","11/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2607","0","11/08/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","NEOM project OP-2026-164829","4-Submitted - Under Evaluation","29/10/2026","11/08/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2608","4422477","12/08/2026"
"Ali Bin Zeair","Solutions by stc","TROPICAL HELICOPTER UNDER WATER ESCAPE TRAINING","7-Handover Completed","13/08/2026","11/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2609","18130","12/08/2026"
"Bayan AlOlayan","Remat Al-Riyadh Development Company","Manpower Supply and Workforce Management WO1","7-Handover Completed","30/08/2026","11/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2610","6552804","13/08/2026"
"Ali Bin Zeair","Solutions by stc","zoom - Customer Event","4-Submitted - Under Evaluation","31/12/2026","12/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2611","25313","13/08/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-25040","4-Submitted - Under Evaluation","31/12/2026","12/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2612","23250","13/08/2026"
"Meshari Aljurbua","TAWAL","STCSQR-25234","4-Submitted - Under Evaluation","17/11/2026","12/08/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2613","24007","27/08/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Business and Performance Planning Expert","1-Identified","30/09/2026","12/08/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2614","984000","16/08/2026"
"Abdullah Alfawaz","King Faisal University","????? ????? ?????? ????? ?????? ??????? ?????? ????? ????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2615","100000","28/04/2026"
"Abdullah Alfawaz","Islamic University In Medina","????? ?????? ?????? ??????? ?????????? ???????? ?????????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2616","200000","13/08/2026"
"Abdullah Alfawaz","Jeddah University","????? ????? ????? ??? ????? ????? ??????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2617","150000","24/07/2026"
"Abdullah Alfawaz","King Abdulaziz University","????? ?????? ?????? ???? ????? ????????? ???????? ????????? ??????? ?????? ????? ????? ???? (36) ??? ??????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2618","200000","24/07/2026"
"Fajer Alsalloum","National Water Company","Digital Platforms Portfolio","1-Identified","15/11/2026","13/08/2026","Sales & BD 1","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2619","9000000","20/08/2026"
"Abdullah Alfawaz","MOI - Prisons","????? ????? ?????? ?????? ???? ?????? ?????? ?????? ( 48/26/71 )","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2620","200000","06/08/2026"
"Abdullah Alfawaz","Ministry of Interior - Public Security","????? ?????? ????? ????? ????????? ?????? ?????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2621","150000","13/08/2026"
"Meshari Aljurbua","Devoteam Company Saudi Limited","Customer Services Center Operations - Devoteam -1320 (Renewal)","4-Submitted - Under Evaluation","30/09/2026","13/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2622","0","31/08/2026"
"Fajer Alsalloum","Ministry of Energy","OP-2026-165046 ? Technical Support for Digital Services and Operations in the Innovation District","4-Submitted - Under Evaluation","22/11/2026","13/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2623","2332248","17/08/2026"
"Abdullah Alfawaz","Prince Sattam bin Abdulaziz University","????? ?????? ??? ????? ????? ?????? ??????????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2624","150000","13/08/2026"
"Abdullah Alfawaz","MOI - Prisons","????? ?????? ?????? ?????? ???? ?????? ??????NOC","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2625","160000","13/08/2026"
"Ali Bin Zeair","Solutions by stc","GP Proposal","2-To Be Qualified","31/12/2026","13/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2626","125560","17/08/2026"
"Abdullah Alfawaz","King Saud University","????? ????? ????? ???????? ?????? ???????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2627","160000","12/08/2026"
"Fajer Alsalloum","Saudi Aramco","DMM Warehouse 26","7-Handover Completed","16/08/2026","13/08/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2628","251381","16/08/2026"
"Abdullah Alfawaz","Umm Al-Qura University","????? ????? ????? ????? ??????? ???????? ???????? ERP ????? 2027 ?","6-Dropped","23/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2629","200000","18/08/2026"
"Mohammad Alajlan","Solutions by stc","Mohammed Ameen (Renwall)","4-Submitted - Under Evaluation","19/11/2026","13/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2630","981965","19/08/2026"
"Abdullah Alfawaz","Princess Nora bint Abdul Rahman University","????? ????? ??????? ?????????? ??????? ???? ??????? ?????? ??????? ???? ??? ??? ?????? ???? 2026 ?","6-Dropped","13/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2631","160000","11/08/2026"
"Ali Bin Zeair","Pulse by solutions","Pulse by Solutions (Summer Event)","7-Handover Completed","25/08/2026","13/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2632","60632","17/08/2026"
"Fajer Alsalloum","National Energy services company","????? ????? ?????? ???? ????? ?????? ????????","6-Dropped","13/08/2026","13/08/2026","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2633","100000","12/08/2026"
"Abdullah Awleyaa","The National Program for Community Development in the Regions","????? ?????? ???? ???? ??????? ?? ???? ???? ?????? ????? ?????","6-Dropped","09/09/2026","13/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2634","0","12/08/2026"
"Abdullah Alfawaz","Ministry of Culture","????? ????? ?????? ???????? ???????? ?????? ??????? ??????","4-Submitted - Under Evaluation","30/12/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2635","73888696","16/08/2026"
"Abdullah Awleyaa","Golden Events Entertainment Company one person company","????? ????? ????? ????? ????????? ????????","6-Dropped","16/08/2026","13/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2636","0","29/07/2026"
"Abdullah Awleyaa","Golden Events Entertainment Company one person company","????? ????? ????? ????? ????? ????????","6-Dropped","09/09/2026","13/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2637","1000000","17/08/2026"
"Abdullah Alfawaz","Ministry of Culture","????? ????? ????? ??????? ?????? ????? ????? ??????","6-Dropped","31/08/2026","13/08/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2026-2638","500000","28/08/2026"
"Ali Bin Zeair","Solutions by stc","Staging Area PO","6-Dropped","18/08/2026","16/08/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2639","96000","18/08/2026"
"Meshari Aljurbua","Center3","Procurement manager calculation","4-Submitted - Under Evaluation","05/11/2026","16/08/2026","STC & Sub","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2640","293541","30/08/2026"
"Bayan AlOlayan","Remat Al-Riyadh Development Company","Manpower Supply and Workforce Management WO 2","4-Submitted - Under Evaluation","30/09/2026","16/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2641","2923624","18/08/2026"
"Osayed Shadid","Saudi Railway Company","RFI# 790758 - Customer Contact Center","4-Submitted - Under Evaluation","22/12/2026","16/08/2026","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2026-2642","2765367","23/08/2026"
"Osayed Shadid","Sultan Bin Abdulaziz Humanitarian City","????? ???? ?????? ????? ???????? ??????????? ???????? ?????? ????????? ?????","6-Dropped","18/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2643","0","17/08/2026"
"Osayed Shadid","Health Holding Company","????? ????? ???? ????????(ACLS-PALS-NRP) ???? ???","6-Dropped","18/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2644","0","17/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Supply, installation, and repair of fiber-optic cables","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2645","0","09/04/2026"
"Osayed Shadid","Wareed Health Company","Ramp up the HC by 100 employees for Wareed","4-Submitted - Under Evaluation","30/10/2026","16/08/2026","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2026-2646","2682360","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Activation of BIM platform license subscriptions","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2647","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Remote development and programming services, technical support, and subscriptions for the Patient Services application","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2648","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Development of the centralized RLDatix incident reporting system, including technical support services","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2649","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Licenses for the systems Fatoora (X4Fatoora), Tahseel (X4Tahseel), Sarf (X4Sarf), and Eltizam (X4Eltizam)","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2650","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Technical support and maintenance services for backup tape storage libraries at all data centers","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2651","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Server licenses, including technical support and maintenance for the Tableau data system","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2652","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Patient queue management system, including the supply and installation of self-service kiosks","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2653","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Technical support and maintenance services for the equipment of the Unified Health Information Monitoring and Control Ce","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2654","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Maintenance, technical support, and operation services for the Medical Imaging Archiving System (PACS)","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2655","0","20/08/2026"
"Khalid AlEnezi","Ministry of National Guard","Development of the centralized RLDatix incident reporting system, including technical support services","6-Dropped","26/08/2026","16/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2656","0","20/08/2026"
"Khalid AlEnezi","General Authority for Military Industries","English language skills training for 200 trainees from the organization?s personnel.","6-Dropped","19/08/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","HRO","Etimad","SF-2026-2657","0","17/08/2026"
"Khalid AlEnezi","General Authority for Military Industries","technical services for the IT environment and systems","6-Dropped","19/08/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2658","0","17/08/2026"
